argument,mean,med,q1,q3,outliers
gameId,4500128741.371945,4510935065.0,4483425458.0,4521744333.0,151
blueWins,0.49984664144770474,0.0,0.0,1.0,0
blueWardsPlaced,22.27256926694612,16.0,14.0,20.0,1608
blueWardsDestroyed,2.8272160310806664,3.0,1.0,4.0,135
blueFirstBlood,0.5055720274000614,1.0,0.0,1.0,0
blueKills,6.186381760556181,6.0,4.0,8.0,88
blueDeaths,6.137920458030877,6.0,4.0,8.0,65
blueAssists,6.648911154278704,6.0,4.0,9.0,208
blueEliteMonsters,0.5496370514262345,0.0,0.0,1.0,0
blueDragons,0.36202842245169203,0.0,0.0,1.0,0
blueHeralds,0.18760862897454247,0.0,0.0,0.0,1835
blueTowersDestroyed,0.051630712606073,0.0,0.0,0.0,461
blueTotalGold,16504.798691340355,16400.0,15414.0,17462.0,114
blueAvgLevel,6.915898169921276,7.0,6.8,7.2,69
blueTotalExperience,17928.134444330844,17952.0,17169.0,18724.0,107
blueTotalMinionsKilled,216.69563439321132,218.0,202.0,232.0,61
blueTotalJungleMinionsKilled,50.51109293528269,50.0,44.0,56.0,161
blueGoldDiff,15.768224107964421,15.0,-1585.0,1601.0,125
blueExperienceDiff,-33.07381658317146,-28.0,-1289.0,1212.0,126
blueCSPerMin,21.669563439321134,21.8,20.2,23.2,61
blueGoldPerMin,1650.4798691340354,1640.0,1541.4,1746.2,114
redWardsPlaced,22.382169512319805,16.0,14.0,20.0,1650
redWardsDestroyed,2.7251814742868827,2.0,1.0,4.0,135
redFirstBlood,0.49442797259993865,0.0,0.0,1.0,0
redKills,6.137920458030877,6.0,4.0,8.0,65
redDeaths,6.186381760556181,6.0,4.0,8.0,88
redAssists,6.664860443717411,6.0,4.0,9.0,205
redEliteMonsters,0.5730497904099785,0.0,0.0,1.0,0
redDragons,0.412841222778857,0.0,0.0,1.0,0
redHeralds,0.16020856763112157,0.0,0.0,0.0,1567
redTowersDestroyed,0.043042633677538085,0.0,0.0,0.0,392
redTotalGold,16489.03046723239,16379.0,15427.0,17418.0,99
redAvgLevel,6.9252428177078,7.0,6.8,7.2,86
redTotalExperience,17961.208260914016,17975.0,17210.0,18764.0,134
redTotalMinionsKilled,217.36857172068295,218.0,203.0,233.0,67
redTotalJungleMinionsKilled,51.317656681320926,51.0,44.0,57.0,131
redGoldDiff,-15.768224107964421,-15.0,-1601.0,1585.0,125
redExperienceDiff,33.07381658317146,28.0,-1212.0,1289.0,126
redCSPerMin,21.736857172068294,21.8,20.3,23.3,67
redGoldPerMin,1648.903046723239,1637.9,1542.7,1741.8,99
