column_name,value
blueKills, 3.751773485750299e-96
blueDeaths, 6.486823402200931e-86
blueAssists, 7.685891509443978e-263
blueEliteMonsters, 4.240554728716787e-182
blueTotalGold, 1.152286183083163e-84
blueAvgLevel, 1.8275575668761197e-88
blueTotalExperience, 6.641004420699254e-47
blueTotalMinionsKilled, 6.051917486684862e-28
blueTotalJungleMinionsKilled, 1.0695861265917902e-14
blueGoldDiff, 3.002116428757411e-07
blueExperienceDiff, 1.3984118101839004e-09
blueCSPerMin, 6.051917486677828e-28
blueGoldPerMin, 1.152286183081846e-84
redKills, 6.486823402200931e-86
redDeaths, 3.751773485750299e-96
redAssists, 7.82326632866848e-217
redEliteMonsters, 1.2554755044753415e-176
redTotalGold, 6.978186726920111e-60
redAvgLevel, 1.4539922810001471e-108
redTotalExperience, 7.134962562359872e-60
redTotalMinionsKilled, 3.9091598118848123e-32
redTotalJungleMinionsKilled, 4.002788778234553e-30
redGoldDiff, 3.002116428757417e-07
redExperienceDiff, 1.3984118101839004e-09
redCSPerMin, 3.909159811886727e-32
redGoldPerMin, 6.978186726910119e-60
